SaleID;Product;Quantity;UnitPrice;TotalPrice
3691;Laptop;18;124,83;2246,93
4262;Monitor;6;142,49;854,96
6121;Mouse;3;54,58;163,73
1490;Keyboard;1;348,73;348,73
4892;Monitor;15;405,52;6082,81
9575;Laptop;3;344,44;1033,31
8952;Monitor;2;22,36;44,72
7674;Mouse;14;286,34;4008,74
1164;Keyboard;13;317,50;4127,47
6203;Mouse;17;330,97;5626,43
6664;Keyboard;6;495,09;2970,53
4352;Chair;19;159,02;3021,35
9880;Monitor;19;17,83;338,69
2273;Mouse;3;399,70;1199,09
5614;Chair;16;438,86;7021,81
2370;Mouse;18;214,76;3865,60
8176;Mouse;14;156,31;2188,28
5283;Chair;3;106,56;319,69
9927;Keyboard;9;151,06;1359,50
6439;Monitor;10;411,60;4115,97
1980;Laptop;17;276,12;4694,04
8095;Chair;18;74,12;1334,18
2336;Chair;5;356,47;1782,34
9065;Monitor;1;382,03;382,03
1964;Mouse;16;139,24;2227,88
6927;Chair;1;230,39;230,39
8095;Monitor;19;103,42;1964,98
4171;Keyboard;7;171,59;1201,12
2790;Mouse;11;114,99;1264,94
5026;Keyboard;16;239,23;3827,73
1715;Keyboard;18;472,49;8504,78
2286;Chair;15;241,81;3627,22
3346;Keyboard;5;303,68;1518,42
1663;Laptop;8;315,50;2524,03
8248;Keyboard;15;334,81;5022,22
7757;Keyboard;1;214,52;214,52
5736;Mouse;4;99,55;398,20
1955;Laptop;3;243,49;730,46
6911;Laptop;6;287,82;1726,94
6462;Chair;14;291,18;4076,46
3770;Mouse;6;428,42;2570,51
2227;Mouse;4;366,24;1464,94
9749;Keyboard;17;165,05;2805,84
2550;Laptop;6;17,00;102,00
1170;Mouse;3;54,17;162,52
7283;Keyboard;16;418,95;6703,23
9074;Mouse;13;287,38;3735,96
4597;Monitor;17;369,17;6275,86
4275;Keyboard;15;102,51;1537,62
3228;Keyboard;3;386,70;1160,10
8428;Monitor;4;270,41;1081,64
6300;Monitor;17;386,38;6568,54
4104;Chair;4;222,39;889,57
8425;Chair;8;260,21;2081,71
4188;Laptop;10;164,82;1648,17
7429;Keyboard;19;347,14;6595,73
3618;Laptop;2;129,58;259,17
7375;Monitor;5;462,79;2313,95
8123;Laptop;10;320,37;3203,67
2247;Chair;11;75,31;828,40
3506;Chair;1;338,84;338,84
9022;Laptop;1;185,36;185,36
3663;Mouse;8;89,29;714,33
9898;Monitor;11;298,42;3282,60
4222;Monitor;16;290,68;4650,85
9536;Chair;2;162,59;325,17
7562;Keyboard;9;390,26;3512,36
3024;Monitor;16;21,34;341,46
5199;Monitor;16;32,24;515,88
8723;Laptop;8;462,27;3698,13
6479;Chair;1;131,44;131,44
4464;Chair;10;327,51;3275,06
1934;Laptop;7;439,80;3078,59
9442;Chair;5;226,83;1134,15
9652;Monitor;6;56,44;338,66
8423;Keyboard;4;124,06;496,24
1574;Mouse;11;290,37;3194,03
6039;Chair;9;204,11;1836,99
8274;Mouse;10;40,04;400,44
1358;Monitor;3;208,80;626,39
4950;Laptop;3;331,77;995,31
2908;Chair;8;342,37;2738,92
2524;Mouse;5;133,12;665,60
2932;Monitor;18;352,29;6341,17
2273;Mouse;12;342,10;4105,26
2861;Laptop;9;391,70;3525,30
9088;Laptop;17;318,99;5422,91
4182;Keyboard;6;398,21;2389,27
6753;Keyboard;1;36,07;36,07
1950;Keyboard;8;124,99;999,92
3624;Monitor;18;214,98;3869,62
5524;Monitor;12;455,48;5465,71
2030;Mouse;12;94,54;1134,47
7934;Laptop;12;101,86;1222,34
9498;Mouse;1;170,57;170,57
5604;Keyboard;14;76,78;1074,93
7412;Keyboard;12;457,76;5493,13
5538;Laptop;18;358,92;6460,52
8149;Keyboard;18;463,23;8338,09
4024;Keyboard;1;243,18;243,18
